Name,Accuracy,Sample size
ants,0.857$\pm$0.15,21.0
bamboo,0.938$\pm$0.084,32.0
birds,0.682$\pm$0.195,22.0
boiling\_water\_1,0.96$\pm$0.077,25.0
boiling\_water\_2,0.852$\pm$0.134,27.0
calm\_water,0.762$\pm$0.182,21.0
calm\_water\_2,0.773$\pm$0.175,22.0
calm\_water\_3,0.63$\pm$0.182,27.0
calm\_water\_4,0.848$\pm$0.122,33.0
calm\_water\_5,0.724$\pm$0.163,29.0
calm\_water\_6,0.765$\pm$0.202,17.0
candle\_flame,1.0$\pm$0.0,17.0
candy\_1,0.963$\pm$0.071,27.0
candy\_2,0.724$\pm$0.163,29.0
coral,0.885$\pm$0.123,26.0
cranberries,0.519$\pm$0.188,27.0
escalator,0.926$\pm$0.099,27.0
fireplace\_1,0.962$\pm$0.074,26.0
fish,0.692$\pm$0.177,26.0
flag,1.0$\pm$0.0,25.0
flag\_2,1.0$\pm$0.0,28.0
flames,0.875$\pm$0.132,24.0
flushing\_water,0.917$\pm$0.111,24.0
fountain\_1,0.667$\pm$0.189,24.0
fountain\_2,0.967$\pm$0.064,30.0
fur,0.526$\pm$0.225,19.0
grass\_1,0.895$\pm$0.138,19.0
grass\_2,0.88$\pm$0.127,25.0
grass\_3,0.92$\pm$0.106,25.0
ink,0.783$\pm$0.169,23.0
lava,0.522$\pm$0.204,23.0
plants,0.857$\pm$0.15,21.0
sea\_1,0.964$\pm$0.069,28.0
sea\_2,0.533$\pm$0.252,15.0
shiny\_circles,0.767$\pm$0.151,30.0
shower\_water\_1,0.87$\pm$0.138,23.0
sky\_clouds\_1,0.571$\pm$0.259,14.0
sky\_clouds\_2,0.889$\pm$0.119,27.0
smoke\_1,0.76$\pm$0.167,25.0
smoke\_2,0.724$\pm$0.163,29.0
smoke\_3,0.968$\pm$0.062,31.0
smoke\_plume\_1,0.778$\pm$0.157,27.0
snake\_1,1.0$\pm$0.0,24.0
snake\_2,0.9$\pm$0.107,30.0
snake\_3,1.0$\pm$0.0,26.0
snake\_4,0.889$\pm$0.119,27.0
snake\_5,1.0$\pm$0.0,27.0
tv\_static,0.619$\pm$0.208,21.0
underwater\_vegetation\_1,0.733$\pm$0.158,30.0
water\_1,0.583$\pm$0.197,24.0
water\_4,0.818$\pm$0.161,22.0
water\_2,0.724$\pm$0.163,29.0
water\_3,0.652$\pm$0.195,23.0
water\_5,0.652$\pm$0.195,23.0
waterfall,0.731$\pm$0.17,26.0
waterfall\_2,0.632$\pm$0.217,19.0
