Name,Accuracy,Sample size
ants,0.608$\pm$0.072,176.0
bamboo,0.882$\pm$0.048,170.0
birds,0.702$\pm$0.069,171.0
boiling\_water\_1,0.886$\pm$0.047,175.0
boiling\_water\_2,0.802$\pm$0.06,167.0
calm\_water,0.665$\pm$0.071,170.0
calm\_water\_2,0.636$\pm$0.072,173.0
calm\_water\_3,0.713$\pm$0.067,174.0
calm\_water\_4,0.751$\pm$0.064,177.0
calm\_water\_5,0.69$\pm$0.069,171.0
calm\_water\_6,0.632$\pm$0.072,171.0
candle\_flame,0.924$\pm$0.04,172.0
candy\_1,0.876$\pm$0.05,169.0
candy\_2,0.64$\pm$0.071,175.0
coral,0.794$\pm$0.061,170.0
cranberries,0.522$\pm$0.073,178.0
escalator,0.835$\pm$0.055,176.0
fireplace\_1,0.949$\pm$0.033,175.0
fish,0.629$\pm$0.072,175.0
flag,0.989$\pm$0.016,175.0
flag\_2,0.976$\pm$0.023,170.0
flames,0.86$\pm$0.051,178.0
flushing\_water,0.756$\pm$0.064,172.0
fountain\_1,0.727$\pm$0.067,172.0
fountain\_2,0.908$\pm$0.043,173.0
fur,0.609$\pm$0.073,174.0
grass\_1,0.784$\pm$0.062,171.0
grass\_2,0.806$\pm$0.059,170.0
grass\_3,0.919$\pm$0.041,173.0
ink,0.725$\pm$0.066,178.0
lava,0.556$\pm$0.074,171.0
plants,0.771$\pm$0.063,170.0
sea\_1,0.835$\pm$0.056,170.0
sea\_2,0.657$\pm$0.071,172.0
shiny\_circles,0.703$\pm$0.068,172.0
shower\_water\_1,0.869$\pm$0.05,175.0
sky\_clouds\_1,0.673$\pm$0.071,168.0
sky\_clouds\_2,0.92$\pm$0.04,174.0
smoke\_1,0.672$\pm$0.07,174.0
smoke\_2,0.624$\pm$0.071,178.0
smoke\_3,0.892$\pm$0.046,176.0
smoke\_plume\_1,0.823$\pm$0.057,175.0
snake\_1,0.879$\pm$0.049,173.0
snake\_2,0.836$\pm$0.055,171.0
snake\_3,0.868$\pm$0.05,174.0
snake\_4,0.822$\pm$0.058,169.0
snake\_5,0.921$\pm$0.04,178.0
tv\_static,0.486$\pm$0.074,175.0
underwater\_vegetation\_1,0.713$\pm$0.068,171.0
water\_1,0.538$\pm$0.074,173.0
water\_4,0.708$\pm$0.068,171.0
water\_2,0.663$\pm$0.071,172.0
water\_3,0.718$\pm$0.066,177.0
water\_5,0.669$\pm$0.07,175.0
waterfall,0.699$\pm$0.068,176.0
waterfall\_2,0.511$\pm$0.073,178.0
