Name,Accuracy,Sample size
ants,0.673$\pm$0.093,98.0
bamboo,0.928$\pm$0.048,111.0
birds,0.723$\pm$0.09,94.0
boiling\_water\_1,0.915$\pm$0.053,106.0
boiling\_water\_2,0.864$\pm$0.066,103.0
calm\_water,0.716$\pm$0.091,95.0
calm\_water\_2,0.707$\pm$0.098,82.0
calm\_water\_3,0.729$\pm$0.089,96.0
calm\_water\_4,0.798$\pm$0.075,109.0
calm\_water\_5,0.712$\pm$0.087,104.0
calm\_water\_6,0.604$\pm$0.093,106.0
candle\_flame,0.97$\pm$0.033,100.0
candy\_1,0.94$\pm$0.051,84.0
candy\_2,0.688$\pm$0.086,112.0
coral,0.827$\pm$0.073,104.0
cranberries,0.558$\pm$0.095,104.0
escalator,0.909$\pm$0.057,99.0
fireplace\_1,0.971$\pm$0.032,103.0
fish,0.627$\pm$0.094,102.0
flag,0.99$\pm$0.02,96.0
flag\_2,0.971$\pm$0.032,105.0
flames,0.87$\pm$0.063,108.0
flushing\_water,0.918$\pm$0.054,98.0
fountain\_1,0.776$\pm$0.079,107.0
fountain\_2,0.947$\pm$0.045,95.0
fur,0.682$\pm$0.097,88.0
grass\_1,0.8$\pm$0.078,100.0
grass\_2,0.88$\pm$0.064,100.0
grass\_3,0.941$\pm$0.046,102.0
ink,0.792$\pm$0.079,101.0
lava,0.631$\pm$0.093,103.0
plants,0.841$\pm$0.069,107.0
sea\_1,0.917$\pm$0.055,96.0
sea\_2,0.729$\pm$0.094,85.0
shiny\_circles,0.729$\pm$0.089,96.0
shower\_water\_1,0.93$\pm$0.054,86.0
sky\_clouds\_1,0.68$\pm$0.093,97.0
sky\_clouds\_2,0.931$\pm$0.05,101.0
smoke\_1,0.674$\pm$0.094,95.0
smoke\_2,0.637$\pm$0.089,113.0
smoke\_3,0.927$\pm$0.049,110.0
smoke\_plume\_1,0.863$\pm$0.067,102.0
snake\_1,0.947$\pm$0.045,94.0
snake\_2,0.896$\pm$0.058,106.0
snake\_3,0.94$\pm$0.047,100.0
snake\_4,0.903$\pm$0.06,93.0
snake\_5,0.95$\pm$0.043,100.0
tv\_static,0.448$\pm$0.099,96.0
underwater\_vegetation\_1,0.794$\pm$0.078,102.0
water\_1,0.55$\pm$0.098,100.0
water\_4,0.806$\pm$0.076,103.0
water\_2,0.709$\pm$0.088,103.0
water\_3,0.74$\pm$0.084,104.0
water\_5,0.688$\pm$0.093,96.0
waterfall,0.767$\pm$0.082,103.0
waterfall\_2,0.543$\pm$0.095,105.0
