Name,Accuracy,Sample size
ants,0.526$\pm$0.111,78.0
bamboo,0.797$\pm$0.103,59.0
birds,0.675$\pm$0.105,77.0
boiling\_water\_1,0.841$\pm$0.086,69.0
boiling\_water\_2,0.703$\pm$0.112,64.0
calm\_water,0.6$\pm$0.111,75.0
calm\_water\_2,0.571$\pm$0.102,91.0
calm\_water\_3,0.692$\pm$0.102,78.0
calm\_water\_4,0.676$\pm$0.111,68.0
calm\_water\_5,0.657$\pm$0.114,67.0
calm\_water\_6,0.677$\pm$0.114,65.0
candle\_flame,0.861$\pm$0.08,72.0
candy\_1,0.812$\pm$0.083,85.0
candy\_2,0.556$\pm$0.123,63.0
coral,0.742$\pm$0.106,66.0
cranberries,0.473$\pm$0.114,74.0
escalator,0.74$\pm$0.098,77.0
fireplace\_1,0.917$\pm$0.064,72.0
fish,0.63$\pm$0.111,73.0
flag,0.987$\pm$0.025,79.0
flag\_2,0.985$\pm$0.03,65.0
flames,0.843$\pm$0.085,70.0
flushing\_water,0.541$\pm$0.114,74.0
fountain\_1,0.646$\pm$0.116,65.0
fountain\_2,0.859$\pm$0.077,78.0
fur,0.535$\pm$0.105,86.0
grass\_1,0.761$\pm$0.099,71.0
grass\_2,0.7$\pm$0.107,70.0
grass\_3,0.887$\pm$0.074,71.0
ink,0.636$\pm$0.107,77.0
lava,0.441$\pm$0.118,68.0
plants,0.651$\pm$0.118,63.0
sea\_1,0.73$\pm$0.101,74.0
sea\_2,0.586$\pm$0.103,87.0
shiny\_circles,0.671$\pm$0.106,76.0
shower\_water\_1,0.809$\pm$0.082,89.0
sky\_clouds\_1,0.662$\pm$0.11,71.0
sky\_clouds\_2,0.904$\pm$0.068,73.0
smoke\_1,0.671$\pm$0.104,79.0
smoke\_2,0.6$\pm$0.119,65.0
smoke\_3,0.833$\pm$0.09,66.0
smoke\_plume\_1,0.767$\pm$0.097,73.0
snake\_1,0.797$\pm$0.089,79.0
snake\_2,0.738$\pm$0.107,65.0
snake\_3,0.77$\pm$0.096,74.0
snake\_4,0.724$\pm$0.101,76.0
snake\_5,0.885$\pm$0.071,78.0
tv\_static,0.532$\pm$0.11,79.0
underwater\_vegetation\_1,0.594$\pm$0.116,69.0
water\_1,0.521$\pm$0.115,73.0
water\_4,0.559$\pm$0.118,68.0
water\_2,0.594$\pm$0.116,69.0
water\_3,0.685$\pm$0.107,73.0
water\_5,0.646$\pm$0.105,79.0
waterfall,0.603$\pm$0.112,73.0
waterfall\_2,0.466$\pm$0.114,73.0
