Name,Accuracy,Sample size
ants,0.885$\pm$0.123,26.0
bamboo,1.0$\pm$0.0,19.0
birds,0.966$\pm$0.066,29.0
boiling\_water\_1,1.0$\pm$0.0,17.0
boiling\_water\_2,0.92$\pm$0.106,25.0
calm\_water,1.0$\pm$0.0,22.0
calm\_water\_2,0.941$\pm$0.112,17.0
calm\_water\_3,1.0$\pm$0.0,20.0
calm\_water\_4,1.0$\pm$0.0,19.0
calm\_water\_5,1.0$\pm$0.0,22.0
calm\_water\_6,1.0$\pm$0.0,19.0
candle\_flame,1.0$\pm$0.0,19.0
candy\_1,0.8$\pm$0.157,25.0
candy\_2,0.95$\pm$0.096,20.0
coral,1.0$\pm$0.0,13.0
cranberries,1.0$\pm$0.0,24.0
escalator,1.0$\pm$0.0,16.0
fireplace\_1,1.0$\pm$0.0,22.0
fish,1.0$\pm$0.0,17.0
flag,0.947$\pm$0.1,19.0
flag\_2,0.938$\pm$0.119,16.0
flames,0.842$\pm$0.164,19.0
flushing\_water,0.867$\pm$0.172,15.0
fountain\_1,0.895$\pm$0.138,19.0
fountain\_2,1.0$\pm$0.0,32.0
fur,1.0$\pm$0.0,19.0
grass\_1,1.0$\pm$0.0,23.0
grass\_2,0.895$\pm$0.138,19.0
grass\_3,1.0$\pm$0.0,29.0
ink,0.813$\pm$0.191,16.0
lava,0.95$\pm$0.096,20.0
plants,0.958$\pm$0.08,24.0
sea\_1,0.889$\pm$0.145,18.0
sea\_2,1.0$\pm$0.0,16.0
shiny\_circles,0.9$\pm$0.131,20.0
shower\_water\_1,1.0$\pm$0.0,25.0
sky\_clouds\_1,1.0$\pm$0.0,17.0
sky\_clouds\_2,1.0$\pm$0.0,28.0
smoke\_1,0.95$\pm$0.096,20.0
smoke\_2,0.909$\pm$0.12,22.0
smoke\_3,1.0$\pm$0.0,25.0
smoke\_plume\_1,1.0$\pm$0.0,15.0
snake\_1,1.0$\pm$0.0,23.0
snake\_2,0.955$\pm$0.087,22.0
snake\_3,1.0$\pm$0.0,16.0
snake\_4,1.0$\pm$0.0,19.0
snake\_5,1.0$\pm$0.0,21.0
tv\_static,0.783$\pm$0.169,23.0
underwater\_vegetation\_1,1.0$\pm$0.0,20.0
water\_1,0.88$\pm$0.127,25.0
water\_4,1.0$\pm$0.0,32.0
water\_2,1.0$\pm$0.0,26.0
water\_3,0.909$\pm$0.12,22.0
water\_5,0.962$\pm$0.074,26.0
waterfall,1.0$\pm$0.0,14.0
waterfall\_2,0.9$\pm$0.131,20.0
