Name,Accuracy,Sample size
ants,0.945$\pm$0.037,146.0
bamboo,0.993$\pm$0.013,150.0
birds,0.885$\pm$0.051,148.0
boiling\_water\_1,0.937$\pm$0.04,143.0
boiling\_water\_2,0.861$\pm$0.055,151.0
calm\_water,0.974$\pm$0.026,151.0
calm\_water\_2,0.987$\pm$0.018,153.0
calm\_water\_3,0.974$\pm$0.026,151.0
calm\_water\_4,0.979$\pm$0.023,145.0
calm\_water\_5,0.951$\pm$0.036,142.0
calm\_water\_6,0.98$\pm$0.023,149.0
candle\_flame,0.993$\pm$0.014,144.0
candy\_1,0.846$\pm$0.058,149.0
candy\_2,0.939$\pm$0.039,148.0
coral,0.957$\pm$0.033,141.0
cranberries,0.92$\pm$0.043,150.0
escalator,0.993$\pm$0.014,144.0
fireplace\_1,0.912$\pm$0.046,148.0
fish,0.953$\pm$0.034,148.0
flag,0.973$\pm$0.026,148.0
flag\_2,0.986$\pm$0.019,147.0
flames,0.789$\pm$0.066,147.0
flushing\_water,0.867$\pm$0.054,150.0
fountain\_1,0.773$\pm$0.069,141.0
fountain\_2,0.979$\pm$0.023,145.0
fur,0.958$\pm$0.033,144.0
grass\_1,0.966$\pm$0.03,145.0
grass\_2,0.952$\pm$0.034,147.0
grass\_3,0.986$\pm$0.019,147.0
ink,0.96$\pm$0.031,151.0
lava,0.96$\pm$0.032,149.0
plants,0.972$\pm$0.027,145.0
sea\_1,0.966$\pm$0.029,147.0
sea\_2,0.952$\pm$0.035,145.0
shiny\_circles,0.848$\pm$0.057,151.0
shower\_water\_1,0.952$\pm$0.034,147.0
sky\_clouds\_1,0.993$\pm$0.014,140.0
sky\_clouds\_2,0.973$\pm$0.026,148.0
smoke\_1,0.884$\pm$0.052,147.0
smoke\_2,0.94$\pm$0.038,151.0
smoke\_3,0.993$\pm$0.013,148.0
smoke\_plume\_1,0.979$\pm$0.023,145.0
snake\_1,0.993$\pm$0.013,147.0
snake\_2,0.966$\pm$0.03,145.0
snake\_3,0.98$\pm$0.023,147.0
snake\_4,0.979$\pm$0.023,144.0
snake\_5,0.986$\pm$0.019,144.0
tv\_static,0.687$\pm$0.075,147.0
underwater\_vegetation\_1,0.972$\pm$0.027,144.0
water\_1,0.908$\pm$0.047,142.0
water\_4,0.952$\pm$0.035,146.0
water\_2,0.972$\pm$0.027,143.0
water\_3,0.893$\pm$0.05,149.0
water\_5,0.973$\pm$0.026,149.0
waterfall,0.931$\pm$0.042,144.0
waterfall\_2,0.905$\pm$0.047,148.0
