Name,Accuracy,Sample size
ants,0.959$\pm$0.039,98.0
bamboo,1.0$\pm$0.0,92.0
birds,0.934$\pm$0.051,91.0
boiling\_water\_1,0.955$\pm$0.044,88.0
boiling\_water\_2,0.909$\pm$0.064,77.0
calm\_water,0.979$\pm$0.028,97.0
calm\_water\_2,0.988$\pm$0.024,80.0
calm\_water\_3,0.964$\pm$0.04,84.0
calm\_water\_4,1.0$\pm$0.0,85.0
calm\_water\_5,0.948$\pm$0.05,77.0
calm\_water\_6,1.0$\pm$0.0,81.0
candle\_flame,1.0$\pm$0.0,75.0
candy\_1,0.839$\pm$0.075,93.0
candy\_2,0.963$\pm$0.042,80.0
coral,0.985$\pm$0.029,67.0
cranberries,0.952$\pm$0.046,83.0
escalator,1.0$\pm$0.0,93.0
fireplace\_1,0.94$\pm$0.051,84.0
fish,0.961$\pm$0.043,77.0
flag,0.979$\pm$0.029,94.0
flag\_2,0.985$\pm$0.029,68.0
flames,0.847$\pm$0.077,85.0
flushing\_water,0.884$\pm$0.068,86.0
fountain\_1,0.847$\pm$0.077,85.0
fountain\_2,0.989$\pm$0.021,95.0
fur,0.988$\pm$0.023,84.0
grass\_1,0.988$\pm$0.023,84.0
grass\_2,0.939$\pm$0.052,82.0
grass\_3,0.989$\pm$0.022,89.0
ink,0.963$\pm$0.041,81.0
lava,0.956$\pm$0.043,90.0
plants,0.978$\pm$0.03,90.0
sea\_1,0.965$\pm$0.039,85.0
sea\_2,0.979$\pm$0.029,94.0
shiny\_circles,0.894$\pm$0.065,85.0
shower\_water\_1,0.988$\pm$0.023,83.0
sky\_clouds\_1,1.0$\pm$0.0,73.0
sky\_clouds\_2,0.978$\pm$0.031,89.0
smoke\_1,0.929$\pm$0.055,84.0
smoke\_2,0.964$\pm$0.04,84.0
smoke\_3,0.989$\pm$0.022,89.0
smoke\_plume\_1,0.986$\pm$0.026,74.0
snake\_1,1.0$\pm$0.0,87.0
snake\_2,0.986$\pm$0.027,71.0
snake\_3,0.973$\pm$0.037,73.0
snake\_4,0.975$\pm$0.034,80.0
snake\_5,1.0$\pm$0.0,89.0
tv\_static,0.721$\pm$0.095,86.0
underwater\_vegetation\_1,1.0$\pm$0.0,85.0
water\_1,0.921$\pm$0.056,89.0
water\_4,0.978$\pm$0.03,92.0
water\_2,0.988$\pm$0.023,83.0
water\_3,0.914$\pm$0.057,93.0
water\_5,0.969$\pm$0.035,96.0
waterfall,0.921$\pm$0.056,89.0
waterfall\_2,0.897$\pm$0.064,87.0
