Name,Accuracy,Sample size
ants,0.917$\pm$0.078,48.0
bamboo,0.983$\pm$0.034,58.0
birds,0.807$\pm$0.102,57.0
boiling\_water\_1,0.909$\pm$0.076,55.0
boiling\_water\_2,0.811$\pm$0.089,74.0
calm\_water,0.963$\pm$0.05,54.0
calm\_water\_2,0.986$\pm$0.027,73.0
calm\_water\_3,0.985$\pm$0.029,67.0
calm\_water\_4,0.95$\pm$0.055,60.0
calm\_water\_5,0.954$\pm$0.051,65.0
calm\_water\_6,0.956$\pm$0.049,68.0
candle\_flame,0.986$\pm$0.028,69.0
candy\_1,0.857$\pm$0.092,56.0
candy\_2,0.912$\pm$0.067,68.0
coral,0.932$\pm$0.057,74.0
cranberries,0.881$\pm$0.078,67.0
escalator,0.98$\pm$0.038,51.0
fireplace\_1,0.875$\pm$0.081,64.0
fish,0.944$\pm$0.054,71.0
flag,0.963$\pm$0.05,54.0
flag\_2,0.987$\pm$0.025,79.0
flames,0.71$\pm$0.113,62.0
flushing\_water,0.844$\pm$0.089,64.0
fountain\_1,0.661$\pm$0.124,56.0
fountain\_2,0.96$\pm$0.054,50.0
fur,0.917$\pm$0.07,60.0
grass\_1,0.934$\pm$0.062,61.0
grass\_2,0.969$\pm$0.042,65.0
grass\_3,0.983$\pm$0.034,58.0
ink,0.957$\pm$0.047,70.0
lava,0.966$\pm$0.046,59.0
plants,0.964$\pm$0.049,55.0
sea\_1,0.968$\pm$0.044,62.0
sea\_2,0.902$\pm$0.082,51.0
shiny\_circles,0.788$\pm$0.099,66.0
shower\_water\_1,0.906$\pm$0.071,64.0
sky\_clouds\_1,0.985$\pm$0.029,67.0
sky\_clouds\_2,0.966$\pm$0.046,59.0
smoke\_1,0.825$\pm$0.094,63.0
smoke\_2,0.91$\pm$0.068,67.0
smoke\_3,1.0$\pm$0.0,59.0
smoke\_plume\_1,0.972$\pm$0.038,71.0
snake\_1,0.983$\pm$0.032,60.0
snake\_2,0.946$\pm$0.052,74.0
snake\_3,0.986$\pm$0.026,74.0
snake\_4,0.984$\pm$0.03,64.0
snake\_5,0.964$\pm$0.049,55.0
tv\_static,0.639$\pm$0.121,61.0
underwater\_vegetation\_1,0.932$\pm$0.064,59.0
water\_1,0.887$\pm$0.085,53.0
water\_4,0.907$\pm$0.077,54.0
water\_2,0.95$\pm$0.055,60.0
water\_3,0.857$\pm$0.092,56.0
water\_5,0.981$\pm$0.037,53.0
waterfall,0.945$\pm$0.06,55.0
waterfall\_2,0.918$\pm$0.069,61.0
